LoanID,CustomerAge,Income,LoanAmount,InterestRate,TermMonths,CreditScore,OriginationDate,Defaulted,DefaultDate,DTI,LTI,AgeGroup,TimeToDefaultMonths,OriginationMonth,GDP_Growth,Unemployment_Rate,Inflation_Rate,GDP_Growth_3MAvg,Unemployment_3MAvg,Inflation_3MAvg,PD,LGD,EAD,ECL,CreditScoreBand,IFRS9_Stage
L00010,46,91211,3161,9.53,48,569,2024-02-15,1,2024-08-07,0.0346559077304272,0.0346559077304272,40s,6.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134,0.76,0.250615205845472,3107.778061110071,591.930893265428,Poor,Stage 3
L00011,35,114663,43397,6.74,12,595,2024-03-12,0,,0.3784743116785711,0.3784743116785711,30s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.16,0.2434627587170055,44519.65259929295,1734.220390231451,Fair,Stage 2
L00012,65,94065,20262,15.6,12,516,2022-05-25,1,2022-08-20,0.2154042417477276,0.2154042417477276,60s,3.0,2022-05-01,1.3761188425140192,6.318907291787187,2.569954585294288,1.7584506549428334,6.411956393472274,2.4795611804930995,0.76,0.2795532878698942,20654.50296922761,4388.266002918213,Poor,Stage 3
L00013,65,125512,41044,15.23,12,364,2023-08-16,0,,0.3270125565682962,0.3270125565682962,60s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.08,0.2596704871664497,41465.69495275576,861.3933767261987,Poor,Stage 2
L00014,29,140151,5027,8.11,24,362,2023-05-19,0,,0.0358684561651361,0.0358684561651361,20s,0.0,2023-05-01,1.9134642250612213,4.921429141968128,2.536535433577892,1.9909266177032352,6.2400099885139495,2.8167784913630864,0.18,0.3347497500506387,4843.115505987889,291.8217069172473,Poor,Stage 2
L00015,37,53159,16986,15.06,24,678,2024-02-24,1,2025-12-04,0.3195319701273538,0.3195319701273538,30s,22.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134,0.17,0.3178809057900085,16053.746586444882,867.5405160578006,Good,Stage 2
L00016,59,84505,41952,16.81,60,500,2022-10-24,0,,0.4964439973966038,0.4964439973966038,50s,0.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.388047865137168,2.413916357481154,0.05,0.3363875427025691,41504.99094742442,698.0880957348239,Poor,Stage 2
L00017,54,72256,26599,9.19,60,398,2024-01-26,0,,0.3681216784765279,0.3681216784765279,50s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.04,0.2366827981925691,26861.65728350603,254.30768839800047,Poor,Stage 2
L00018,42,44538,45530,10.61,12,761,2022-08-18,0,,1.0222731150927298,1.0222731150927298,40s,0.0,2022-08-01,1.5884499952760007,6.694642118148653,2.071038927995376,2.5550033703400445,5.676320311620862,2.2290679117675807,0.02,0.274591515334007,44611.73164304756,245.00005987077,Very Good,Stage 2
L00019,25,142073,36270,14.79,60,692,2023-03-30,1,2026-11-21,0.2552912939122845,0.2552912939122845,20s,44.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.67,0.1073743797944695,36163.4744409938,2601.6305283409556,Good,Stage 3
L00020,46,142409,26419,5.51,24,540,2023-06-20,0,,0.1855149604308716,0.1855149604308716,40s,0.0,2023-06-01,1.6866116662931072,5.292361429215716,2.7522617229098687,1.970851792373928,5.546148941512129,2.757910161032392,0.1,0.2580021217572714,25222.15710376142,650.7370048065682,Poor,Stage 2
L00021,52,107939,21141,5.95,60,530,2023-04-24,0,,0.195860624982629,0.195860624982629,50s,0.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.2,0.2252389774489841,21914.17592221978,987.1853152715863,Poor,Stage 2
L00022,63,139324,36827,17.2,48,542,2024-01-23,0,,0.2643263185093738,0.2643263185093738,60s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.02,0.3057529041381639,36960.44974017513,226.01529692622384,Poor,Stage 2
L00023,22,129225,45557,12.87,24,327,2022-06-14,0,,0.352540143161153,0.352540143161153,20s,0.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663,0.11,0.3176185987819612,44257.673117611215,1546.276613306232,Poor,Stage 2
L00024,40,68925,45941,11.55,48,805,2022-10-30,0,,0.6665360899528473,0.6665360899528473,30s,0.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.388047865137168,2.413916357481154,0.33,0.3275486378872549,46104.35289572832,4983.467937250812,Excellent,Stage 2
L00025,45,64262,26776,7.81,60,582,2023-01-03,0,,0.4166692602159907,0.4166692602159907,40s,0.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186,0.05,0.3053065001894717,26464.74661099007,403.992958310128,Fair,Stage 2
L00026,33,75016,12474,4.1,36,755,2024-01-18,0,,0.1662845259677935,0.1662845259677935,30s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.2,0.3220324556243728,12116.473001543429,780.3795108386892,Very Good,Stage 2
L00027,57,117504,35562,7.77,12,673,2023-08-29,0,,0.3026450163398693,0.3026450163398693,50s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.08,0.2376301957917636,34970.20129699949,664.7980624866699,Good,Stage 2
L00028,44,88840,49576,7.55,24,567,2024-04-03,0,,0.5580369203061684,0.5580369203061684,40s,0.0,2024-04-01,2.610925191020669,4.921261927611488,2.4286029073507773,2.4915551817490145,5.226437489195747,2.276693568136,0.15,0.3248435462540477,49959.56759818653,2434.356466187059,Poor,Stage 2
L00029,22,109474,26664,6.07,48,380,2024-05-08,0,,0.2435646820249557,0.2435646820249557,20s,0.0,2024-05-01,1.3930510644373455,4.999306485684271,2.408811511663381,2.240337984797757,5.51716228270183,2.29832950569295,0.08,0.2401587674291186,26392.19607285686,507.06538228839423,Poor,Stage 2
L00030,22,123041,49645,4.46,36,524,2022-06-08,0,,0.4034833917149568,0.4034833917149568,20s,0.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663,0.12,0.313856874741729,50107.99213423283,1887.2085373000148,Poor,Stage 2
L00031,22,107092,41559,11.74,36,546,2023-07-31,0,,0.3880682030403765,0.3880682030403765,20s,0.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.13,0.2427413118651987,41359.89987630721,1305.1683260964508,Poor,Stage 2
L00032,31,129751,15688,14.2,24,579,2024-04-29,0,,0.1209085093756502,0.1209085093756502,30s,0.0,2024-04-01,2.610925191020669,4.921261927611488,2.4286029073507773,2.4915551817490145,5.226437489195747,2.276693568136,0.24,0.2895108396758772,15215.474001794695,1057.2107170382549,Poor,Stage 2
L00033,54,85733,26509,11.5,24,443,2023-03-06,0,,0.3092041570923681,0.3092041570923681,50s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.05,0.257689491514985,26510.371639155845,341.57220937836746,Poor,Stage 2
L00034,26,71663,18708,16.02,36,702,2023-10-16,1,2025-12-27,0.2610552167785328,0.2610552167785328,20s,27.0,2023-10-01,1.9361392798913275,5.201538083718159,2.1953790107849285,1.8066350953327208,4.933524106262756,2.652395419426751,0.66,0.3829895352283069,19833.487415049145,5013.371963850457,Good,Stage 3
L00035,39,31411,5911,5.35,12,788,2024-02-13,0,,0.1881824838432396,0.1881824838432396,30s,0.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134,0.11,0.2477657506768809,5798.617935478495,158.03688182394802,Very Good,Stage 2
L00036,59,120689,14111,5.93,12,772,2023-04-30,0,,0.1169203489961802,0.1169203489961802,50s,0.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.16,0.2634251925193658,14881.724787429845,627.235394743828,Very Good,Stage 2
L00037,51,105981,33306,7.2,48,443,2023-10-07,0,,0.3142638774874742,0.3142638774874742,50s,0.0,2023-10-01,1.9361392798913275,5.201538083718159,2.1953790107849285,1.8066350953327208,4.933524106262756,2.652395419426751,0.03,0.2592151842408289,32726.725946549977,254.49792887502204,Poor,Stage 2
L00038,69,22049,34616,5.3,12,752,2022-12-20,1,2023-07-10,1.5699578212163816,1.5699578212163816,60s,7.0,2022-12-01,1.708355198702862,3.973186911024205,2.6071833741290216,2.408536698676428,5.606239873346172,2.482278279644609,0.63,0.1953054776196898,33676.912697334184,4143.6898770389535,Very Good,Stage 3
L00039,29,27400,45642,14.16,36,430,2022-09-09,1,2025-07-11,1.6657664233576643,1.6657664233576643,20s,35.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.21,0.3134062056839768,45070.61331245396,2966.3360802822453,Poor,Stage 2
L00040,53,32183,32299,5.18,36,719,2022-10-23,1,2024-11-30,1.003604387409502,1.003604387409502,50s,26.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.388047865137168,2.413916357481154,0.64,0.2733077196074726,30829.29472989787,5392.565913430438,Good,Stage 3
L00041,40,143133,5557,17.16,60,452,2022-09-30,1,2024-12-08,0.0388240307965319,0.0388240307965319,30s,27.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.42,0.1833907368576031,5463.494719886787,420.82081544901786,Poor,Stage 3
L00042,66,139121,14969,13.69,36,460,2022-09-27,0,,0.1075969839204721,0.1075969839204721,60s,0.0,2022-09-01,1.9288699846668167,6.060691103133213,2.570890997120925,2.5304225017032462,5.8521320135718575,2.1555422827866253,0.05,0.3403044517644576,15359.652816958922,261.34791155838064,Poor,Stage 2
L00043,34,111412,24295,14.45,12,691,2023-07-17,0,,0.218064481384411,0.218064481384411,30s,0.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.04,0.2576501557426968,24144.280032524883,248.8311004270128,Good,Stage 2
L00044,37,90271,47064,11.6,48,769,2023-09-18,1,2025-03-04,0.5213634500559426,0.5213634500559426,30s,18.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565,0.75,0.1796574459970355,47104.45457275421,6346.999502718302,Very Good,Stage 3
L00045,66,136381,17373,17.7,60,737,2022-10-07,0,,0.1273857795440713,0.1273857795440713,60s,0.0,2022-10-01,2.6306927290414364,6.4088103741296365,2.599819147327161,2.049337569661418,6.388047865137168,2.413916357481154,0.3,0.2798068923418068,17188.663123012706,1442.8519235881201,Good,Stage 2
L00046,47,69377,35352,12.08,12,780,2023-02-05,1,2023-02-06,0.5095636882540323,0.5095636882540323,40s,0.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.73,0.4014376999143761,34503.13233062427,10111.126400332421,Very Good,Stage 3
L00047,68,65714,40410,14.76,48,811,2023-03-05,0,,0.6149374562498098,0.6149374562498098,60s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.43,0.3304033988274151,41683.08141805983,5922.05966287454,Excellent,Stage 3
L00048,48,38589,46484,7.91,12,817,2023-03-12,0,,1.204591982171085,1.204591982171085,40s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.13,0.3023325041894938,45854.18751493536,1802.2174740654539,Excellent,Stage 2
L00049,61,53828,21711,8.63,60,601,2023-05-18,0,,0.4033402690049788,0.4033402690049788,60s,0.0,2023-05-01,1.9134642250612213,4.921429141968128,2.536535433577892,1.9909266177032352,6.2400099885139495,2.8167784913630864,0.09,0.3527932847985879,22776.83076890508,723.1961649837212,Fair,Stage 2
L00050,55,86235,3190,8.28,36,460,2024-02-03,1,2026-04-05,0.0369919406273554,0.0369919406273554,50s,26.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134,0.79,0.2404104078933547,3201.025593037623,607.9522961144015,Poor,Stage 3
L00051,38,54584,35745,17.11,60,622,2022-06-11,0,,0.6548622306903121,0.6548622306903121,30s,0.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663,0.21,0.2610157663052545,35086.917076725054,1923.2300950947654,Fair,Stage 2
L00052,44,131217,10455,13.4,36,454,2023-01-17,0,,0.0796771759756738,0.0796771759756738,40s,0.0,2023-01-01,2.4823076569763702,7.721511165662398,2.7035067129716897,2.3590750079880727,6.043806803857092,2.5168408015261186,0.02,0.2700369769797718,10814.202450493964,58.4046907635726,Poor,Stage 2
L00053,46,86320,30751,13.76,60,545,2024-03-26,0,,0.3562442075996292,0.3562442075996292,40s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.11,0.2277695756025236,30747.54466380249,770.3690718783325,Poor,Stage 2
L00054,49,25801,22190,9.88,24,707,2022-11-11,0,,0.8600441843339406,0.8600441843339406,40s,0.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.02,0.2478712353508176,22826.49433033893,113.16062696779089,Good,Stage 2
L00055,27,109912,48091,15.18,12,620,2023-07-19,1,2024-07-03,0.4375409418443846,0.4375409418443846,20s,12.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.63,0.2667045962427872,50152.91149693725,8426.887567050262,Fair,Stage 3
L00056,66,90031,13893,16.46,12,770,2023-06-18,0,,0.154313514233986,0.154313514233986,60s,0.0,2023-06-01,1.6866116662931072,5.292361429215716,2.7522617229098687,1.970851792373928,5.546148941512129,2.757910161032392,0.25,0.268040169800825,14815.225160502843,992.7688669146593,Very Good,Stage 2
L00057,54,98657,13966,13.41,24,350,2024-01-12,0,,0.1415611664656334,0.1415611664656334,50s,0.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.11,0.2596345671483283,14093.20167922667,402.49905494921205,Poor,Stage 2
L00058,42,75609,34289,4.43,36,353,2024-03-21,0,,0.4535042124614794,0.4535042124614794,40s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.05,0.2173729649426714,34084.59846796432,370.453511393092,Poor,Stage 2
L00059,57,133632,17599,14.78,12,304,2023-04-26,0,,0.1316974976053639,0.1316974976053639,50s,0.0,2023-04-01,2.312479485767456,6.424656253352545,2.984933326609414,2.1516471976282863,6.411166137758511,2.7851291234802766,0.09,0.3015039149013657,17947.395940841987,487.00891246038645,Poor,Stage 2
L00060,26,86412,35093,11.57,24,568,2023-11-17,0,,0.4061125769569041,0.4061125769569041,20s,0.0,2023-11-01,1.7402557425219578,6.967381840997457,2.685016707073905,1.6118317078309,5.466521384637438,2.606730523216602,0.4,0.2266657724253733,33806.81018433515,3065.1386974681213,Poor,Stage 3
L00061,62,103613,29258,15.13,12,357,2023-03-19,1,2023-11-22,0.2823776939187167,0.2823776939187167,60s,8.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.75,0.4279502538499403,27938.587601113104,8967.244242078861,Poor,Stage 3
L00062,57,52217,11308,5.13,48,426,2022-06-12,0,,0.2165578259953655,0.2165578259953655,50s,0.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663,0.17,0.2711528295603621,11750.4037399407,541.646387835469,Poor,Stage 2
L00063,21,86617,32305,6.19,36,395,2022-12-08,0,,0.3729637369107681,0.3729637369107681,20s,0.0,2022-12-01,1.708355198702862,3.973186911024205,2.6071833741290216,2.408536698676428,5.606239873346172,2.482278279644609,0.2,0.314829407256868,32270.742807468643,2031.9557659628376,Poor,Stage 2
L00064,68,40056,48543,17.08,48,571,2023-08-11,0,,1.2118783702816058,1.2118783702816058,60s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.04,0.309059920326605,47992.54579322399,593.3028951649899,Poor,Stage 2
L00065,25,133429,11130,7.47,36,734,2022-11-25,0,,0.0834151496301403,0.0834151496301403,20s,0.0,2022-11-01,2.886562168284985,6.436722334884672,2.239832317477644,2.48204162733108,6.3020746040491735,2.4701808206419096,0.28,0.4098887796214643,11064.91516502506,1269.9076806100036,Good,Stage 2
L00066,49,81389,12435,4.64,24,393,2023-12-18,0,,0.1527847743552568,0.1527847743552568,40s,0.0,2023-12-01,1.894676466343383,7.069755601215846,1.9379351431262704,1.8570238295855563,6.412891841977154,2.272776953661701,0.07,0.2866956408974007,12126.873854466256,243.37053102516947,Poor,Stage 2
L00067,25,115435,46919,5.37,36,731,2024-03-30,1,2026-05-24,0.406453848486161,0.406453848486161,20s,26.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.62,0.2179866584710368,43930.08686658072,5937.227162280752,Good,Stage 3
L00068,56,82752,40220,9.58,36,821,2022-12-09,1,2024-11-14,0.4860305491105955,0.4860305491105955,50s,24.0,2022-12-01,1.708355198702862,3.973186911024205,2.6071833741290216,2.408536698676428,5.606239873346172,2.482278279644609,0.28,0.3969995260315352,41835.51492919561,4650.430287489245,Excellent,Stage 2
L00069,56,88385,43158,4.21,24,741,2024-02-21,1,2024-11-09,0.4882955252588108,0.4882955252588108,50s,9.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134,0.71,0.2963886488067775,44150.26818333467,9290.80321523395,Very Good,Stage 3
L00070,25,36364,7611,12.62,36,635,2022-06-25,0,,0.20930040699593,0.20930040699593,20s,0.0,2022-06-01,2.002612590577211,5.533255997280228,2.7914678840637914,1.720401525688848,6.070943201332469,2.63804158965663,0.07,0.2589639996255091,7361.958971508547,133.45376382385268,Fair,Stage 2
L00071,69,69115,28471,12.91,12,679,2024-02-10,0,,0.4119366273601967,0.4119366273601967,60s,0.0,2024-02-01,2.146702655291118,4.127132105166019,2.34390369899253,2.0997858453349783,5.506876616557747,2.1819356611975134,0.1,0.3779138053499056,28417.571508698977,1073.939258765549,Good,Stage 2
L00072,63,140420,41155,9.41,60,716,2022-08-26,0,,0.2930850306224185,0.2930850306224185,60s,0.0,2022-08-01,1.5884499952760007,6.694642118148653,2.071038927995376,2.5550033703400445,5.676320311620862,2.2290679117675807,0.08,0.3270265450959279,41345.47944515527,1081.6855438627065,Good,Stage 2
L00073,63,109643,23764,4.97,24,601,2024-03-01,0,,0.2167397827494687,0.2167397827494687,60s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.2,0.2874938294252929,23583.03070017725,1355.9951610896408,Fair,Stage 2
L00074,55,47350,30472,13.18,60,717,2023-02-05,0,,0.6435480464625132,0.6435480464625132,50s,0.0,2023-02-01,2.395625964836375,5.4348975897018175,2.441587329929464,2.195429606838536,5.709865222129474,2.584092472343392,0.03,0.3351776476254137,30638.464116704115,308.079849884776,Good,Stage 2
L00075,27,23267,20209,13.75,24,792,2024-05-14,0,,0.8685692182060429,0.8685692182060429,20s,0.0,2024-05-01,1.3930510644373455,4.999306485684271,2.408811511663381,2.240337984797757,5.51716228270183,2.29832950569295,0.07,0.2788558729948597,19938.605706469003,389.1998110404394,Very Good,Stage 2
L00076,56,53496,26548,7.95,24,693,2023-07-07,1,2024-07-10,0.4962614027216988,0.4962614027216988,50s,12.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.08,0.2877810436725525,27593.6219242227,635.2737052846908,Good,Stage 2
L00077,44,67295,20506,9.78,48,395,2023-08-27,0,,0.3047180325432796,0.3047180325432796,40s,0.0,2023-08-01,2.32466590502742,5.368390005873416,2.822011395704353,2.290270107591903,5.323876239875504,2.521788194019356,0.1,0.2948668063657337,20336.780856096248,599.6641622796892,Poor,Stage 2
L00078,52,81476,47811,10.01,48,824,2023-07-14,0,,0.5868108400019638,0.5868108400019638,50s,0.0,2023-07-01,2.8595327514551823,5.310877284537378,1.991091463443845,2.153202880936504,5.174889285240408,2.426629539977202,0.12,0.3286154436796452,48153.31532195384,1898.8707695003661,Excellent,Stage 2
L00079,55,41352,49352,11.48,36,641,2023-09-20,0,,1.1934610176049527,1.1934610176049527,50s,0.0,2023-09-01,1.1591001010794146,4.230644229196696,2.9397958517909712,2.114432919187339,4.96997050653583,2.5842995703130565,0.12,0.3109072433174394,49867.39125292931,1860.4959775056527,Fair,Stage 2
L00080,39,67280,16923,4.15,60,532,2022-07-31,0,,0.2515309155766944,0.2515309155766944,30s,0.0,2022-07-01,4.073947525166922,4.801062819433707,1.8246969232435752,2.4842263194193843,5.551075369500374,2.3953731308672186,0.04,0.2155968432622571,16616.514452882002,143.2987224825212,Poor,Stage 2
L00081,29,55270,20101,13.47,24,805,2022-12-16,1,2023-07-07,0.3636873529943911,0.3636873529943911,20s,7.0,2022-12-01,1.708355198702862,3.973186911024205,2.6071833741290216,2.408536698676428,5.606239873346172,2.482278279644609,0.79,0.3188898339791802,20341.64195035692,5124.526831286464,Excellent,Stage 3
L00082,25,141954,40259,8.6,36,768,2023-12-10,0,,0.2836059568592642,0.2836059568592642,20s,0.0,2023-12-01,1.894676466343383,7.069755601215846,1.9379351431262704,1.8570238295855563,6.412891841977154,2.272776953661701,0.37,0.2507288523509536,41141.8078169255,3816.712155305052,Very Good,Stage 2
L00083,43,86703,30192,5.59,12,341,2022-07-06,0,,0.3482232448704197,0.3482232448704197,40s,0.0,2022-07-01,4.073947525166922,4.801062819433707,1.8246969232435752,2.4842263194193843,5.551075369500374,2.3953731308672186,0.06,0.2631774149580664,31487.625539494067,497.2099135590983,Poor,Stage 2
L00084,34,146174,40497,10.18,24,514,2024-01-25,1,2025-02-24,0.2770465335832637,0.2770465335832637,30s,13.0,2024-01-01,2.2579784143704336,5.323742143291377,2.26396814147374,1.964303541078592,6.45362652850156,2.2956399972246384,0.77,0.3692134209940383,42135.21612337617,11978.803212710856,Poor,Stage 3
L00085,31,26801,40614,6.0,12,373,2024-03-03,0,,1.5153912167456438,1.5153912167456438,30s,0.0,2024-03-01,2.717037698935256,6.6309184348097325,2.057574098064692,2.373906256198936,5.360597561089043,2.221815312843654,0.3,0.2585207981686224,41122.74658227807,3189.325580800955,Poor,Stage 2
L00086,37,97052,47261,5.18,36,467,2023-03-14,1,2023-03-24,0.4869657503194164,0.4869657503194164,30s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.27,0.2408879770245695,46568.2505165121,3028.78754833391,Poor,Stage 2
L00087,47,39065,20924,11.19,48,721,2023-03-11,0,,0.5356201203123,0.5356201203123,40s,0.0,2023-03-01,1.7468361422810283,7.373944570221173,2.9288667139019533,2.208256588031258,6.843451108528463,2.6913202522677024,0.07,0.3535295011549235,21456.015987625316,530.9734240214069,Good,Stage 2
L00088,68,62348,29432,16.33,36,810,2023-10-04,1,2023-10-12,0.4720600500417014,0.4720600500417014,60s,0.0,2023-10-01,1.9361392798913275,5.201538083718159,2.1953790107849285,1.8066350953327208,4.933524106262756,2.652395419426751,0.73,0.4474432522962089,30113.54651753888,9836.095330145965,Excellent,Stage 3
