LoanID,CustomerAge,Income,LoanAmount,InterestRate,TermMonths,CreditScore,OriginationDate,Defaulted,DefaultDate
L00071,69,69115,28471,12.91,12,679,2024-02-10,0,
L00072,63,140420,41155,9.41,60,716,2022-08-26,0,
L00073,63,109643,23764,4.97,24,601,2024-03-01,0,
L00074,55,47350,30472,13.18,60,717,2023-02-05,0,
L00075,27,23267,20209,13.75,24,792,2024-05-14,0,
L00076,56,53496,26548,7.95,24,693,2023-07-07,1,2024-07-10
L00077,44,67295,20506,9.78,48,395,2023-08-27,0,
L00078,52,81476,47811,10.01,48,824,2023-07-14,0,
L00079,55,41352,49352,11.48,36,641,2023-09-20,0,
L00080,39,67280,16923,4.15,60,532,2022-07-31,0,
L00081,29,55270,20101,13.47,24,805,2022-12-16,1,2023-07-07
L00082,25,141954,40259,8.6,36,768,2023-12-10,0,
L00083,43,86703,30192,5.59,12,341,2022-07-06,0,
L00084,34,146174,40497,10.18,24,514,2024-01-25,1,2025-02-24
L00085,31,26801,40614,6.0,12,373,2024-03-03,0,
L00086,37,97052,47261,5.18,36,467,2023-03-14,1,2023-03-24
L00087,47,39065,20924,11.19,48,721,2023-03-11,0,
L00088,68,62348,29432,16.33,36,810,2023-10-04,1,2023-10-12
L00089,65,111267,38909,13.91,12,744,2023-10-07,1,2023-10-12
L00090,59,138874,28289,16.69,24,338,2024-05-01,0,
L00091,65,24748,24233,10.56,60,357,2023-07-09,0,
L00092,28,33116,28470,13.09,36,300,2023-06-05,0,
L00093,48,81629,3504,9.25,24,668,2024-02-29,0,
L00094,53,123333,49196,17.49,48,472,2022-07-06,0,
L00095,41,40559,30509,16.95,48,528,2023-05-06,0,
L00096,39,33843,47472,11.32,48,532,2024-01-29,0,
L00097,35,72638,45356,13.76,24,558,2022-06-14,0,
L00098,31,98859,37121,17.31,36,657,2023-12-23,1,2026-03-05
L00099,48,139156,32703,6.38,24,389,2024-01-07,0,
L00100,48,47355,40732,17.64,24,801,2023-07-02,0,
L00101,29,98752,38547,7.79,60,846,2023-03-31,0,
L00102,38,76178,7804,12.59,60,749,2022-12-17,1,2024-07-19
L00103,50,43793,32548,6.31,36,673,2023-02-03,0,
L00104,52,131854,26833,9.33,60,760,2022-08-14,1,2025-04-15
L00105,61,125570,11702,7.83,48,817,2023-12-26,0,
L00106,25,118142,12860,17.95,60,736,2023-01-18,0,
L00107,57,24809,35201,9.29,48,384,2023-07-06,0,
L00108,66,54816,48106,7.85,36,745,2023-06-24,0,
L00109,60,128319,29657,9.01,24,371,2023-04-22,1,2023-11-10
L00110,54,81877,46125,15.64,24,605,2023-07-15,0,
L00111,64,126884,27285,15.09,60,700,2022-07-11,1,2026-09-12
L00112,67,35254,47238,14.99,48,374,2023-02-04,0,
L00113,58,85215,16051,17.73,12,605,2023-09-24,0,
L00114,50,45934,26386,5.27,12,607,2022-07-16,0,
L00115,53,117239,45318,9.55,12,405,2022-07-09,0,
L00116,25,123196,42811,10.43,24,700,2023-03-04,1,2024-07-05
L00117,40,145911,39932,17.72,24,352,2023-03-08,0,
L00118,63,147018,15015,8.78,48,410,2024-01-24,0,
L00119,36,91774,9090,5.94,60,819,2023-04-20,0,
L00120,24,128215,44240,16.56,12,494,2024-02-21,0,
L00121,52,95697,31732,6.69,48,702,2022-10-13,0,
L00122,38,131195,40545,6.48,48,704,2022-10-22,1,2023-06-07
L00123,25,124680,19907,6.89,60,845,2023-03-11,0,
L00124,46,132428,19282,4.55,48,548,2023-04-30,0,
L00125,42,30478,48162,16.89,60,636,2024-05-04,0,
L00126,21,79399,17178,6.58,36,602,2022-07-27,0,
L00127,42,28717,31699,9.16,60,515,2023-09-02,0,
L00128,46,24621,18034,7.53,12,306,2023-11-26,0,
L00129,43,104717,41638,4.43,12,573,2022-05-22,0,
L00130,55,54674,38854,5.47,60,784,2023-12-11,0,
L00131,59,136664,32926,5.25,36,425,2022-07-22,0,
L00132,37,23596,47243,10.64,36,693,2023-08-16,0,
L00133,65,144049,29734,12.18,12,769,2022-08-02,0,
L00134,28,97735,18728,11.9,36,724,2022-12-01,0,
L00135,46,68447,37529,7.42,48,614,2024-01-18,0,
L00136,57,48024,30285,7.15,24,802,2023-12-28,1,2024-05-27
L00137,50,76138,13589,6.43,48,436,2023-10-09,0,
L00138,51,135751,7324,17.75,12,522,2022-12-31,0,
L00139,40,99579,31746,16.12,36,417,2023-01-21,1,2023-07-06
L00140,58,33234,41328,14.06,60,691,2023-07-21,0,
L00141,65,117579,9469,17.55,24,524,2023-06-24,0,
L00142,32,147534,5048,12.55,60,619,2023-04-12,0,
L00143,31,52254,42756,11.46,12,309,2023-03-06,0,
L00144,30,22219,42809,8.51,36,620,2022-05-30,0,
L00145,29,39216,30534,10.6,60,718,2023-05-21,0,
L00146,69,103524,34037,14.44,60,633,2022-11-08,0,
L00147,31,90792,22019,9.31,24,812,2022-12-27,1,2024-07-05
L00148,42,146523,8951,14.94,24,528,2023-11-27,0,
L00149,50,144194,24204,6.61,36,678,2022-11-12,0,
L00150,24,36984,17060,12.24,24,701,2023-09-02,0,
L00151,59,49287,31173,16.6,60,721,2023-03-17,1,2023-06-10
L00152,35,29184,22096,8.98,60,802,2022-05-19,0,
L00153,60,112263,7018,11.6,12,497,2022-09-10,0,
L00154,27,103122,27519,13.71,60,799,2022-10-26,1,2025-11-17
L00155,49,25408,28053,16.51,36,719,2023-03-13,0,
L00156,53,64028,35154,14.42,48,553,2023-10-08,1,2025-05-03
L00157,22,52265,40380,16.27,12,417,2023-06-03,0,
L00158,51,49486,9371,10.4,12,314,2023-12-27,1,2024-08-11
L00159,25,146108,17382,9.73,36,429,2023-12-29,0,
L00160,56,119097,37884,15.58,36,553,2023-06-24,0,
L00161,58,129701,15999,9.93,24,645,2024-01-05,1,2024-03-26
L00162,32,95993,13380,5.95,12,509,2023-05-21,1,2024-01-11
L00163,67,111751,36595,12.3,24,655,2024-01-26,0,
L00164,25,80279,41727,13.12,60,677,2022-12-13,1,2023-09-06
L00165,49,146413,47327,15.77,12,706,2023-06-17,0,
L00166,57,56244,39185,15.74,12,481,2023-12-10,0,
L00167,21,120158,40430,7.18,48,730,2023-06-19,1,2024-12-17
L00168,29,77545,42224,4.06,12,543,2024-01-24,0,
L00169,31,93509,11577,10.52,60,774,2023-08-13,0,
L00170,37,26783,48994,4.46,24,478,2022-06-13,0,
L00171,45,87526,8299,9.86,24,460,2023-04-26,0,
L00172,63,24757,22097,4.18,48,768,2022-10-31,0,
L00173,37,66163,22816,6.08,60,641,2023-11-07,0,
L00174,60,141392,23806,12.34,24,440,2024-04-01,0,
L00175,39,113501,5079,10.56,36,604,2023-08-12,0,
L00176,50,92847,31071,12.22,60,670,2024-03-01,0,
L00177,22,26645,41000,9.61,60,563,2023-09-29,0,
L00178,59,68770,16087,7.81,48,461,2022-09-12,1,2023-04-05
L00179,43,101974,43411,15.76,24,690,2022-12-28,0,
L00180,21,130904,13998,7.55,60,742,2023-07-26,0,
L00181,28,76373,34480,15.2,24,350,2023-11-11,0,
L00182,67,99111,10970,7.4,36,377,2023-10-22,0,
L00183,66,104458,15175,9.56,48,464,2023-12-08,0,
L00184,34,133374,3822,16.55,36,306,2024-02-21,0,
L00185,53,22198,23079,6.54,48,847,2024-02-21,0,
L00186,38,28705,45880,15.44,60,822,2023-04-23,0,
L00187,22,114914,40334,4.48,48,831,2023-03-18,0,
L00188,58,21279,48960,10.11,12,799,2022-05-26,0,
L00189,64,49975,48648,16.16,24,358,2023-03-13,1,2023-04-18
L00190,52,71920,31529,4.31,24,825,2022-11-30,1,2023-12-27
L00191,22,126732,37072,7.61,12,577,2023-08-24,0,
L00192,24,75961,44401,16.61,36,374,2024-03-22,1,2024-07-04
L00193,41,112201,41243,10.97,12,333,2022-06-18,1,2022-08-31
L00194,45,141829,15875,6.89,60,641,2024-01-31,0,
L00195,51,102565,32402,12.36,60,567,2022-06-21,0,
L00196,27,113065,14664,9.86,24,775,2022-09-17,0,
L00197,66,148575,23609,6.33,60,662,2023-05-30,0,
L00198,56,107410,16081,4.96,24,595,2022-12-19,0,
L00199,56,111248,27762,8.16,12,526,2022-12-30,0,
L00200,67,88247,7853,5.89,12,611,2023-04-25,1,2023-11-24
L00201,56,94478,4762,15.78,12,806,2023-03-12,0,
L00202,54,67304,35921,10.64,24,372,2023-11-25,0,
L00203,37,74912,37008,13.87,12,341,2024-01-17,0,
L00204,55,65186,31145,15.19,12,471,2023-08-25,0,
L00205,58,108929,26051,9.05,36,343,2022-05-26,1,2022-06-21
L00206,69,55772,24520,17.3,12,796,2024-05-14,1,2024-06-21
L00207,36,110327,3338,14.25,60,380,2022-09-21,0,
L00208,36,78053,8319,7.5,24,388,2023-06-14,0,
L00209,46,110600,49617,4.55,36,315,2023-12-25,0,
L00210,43,107833,22541,16.82,48,634,2022-05-19,1,2024-01-12
L00211,29,31122,18023,5.61,24,776,2023-12-23,0,
L00212,50,71571,28510,10.37,60,742,2022-07-12,0,
L00213,37,109613,12374,9.11,24,487,2022-05-20,1,2023-08-20
L00214,23,149828,32866,8.76,60,482,2023-12-17,0,
L00215,59,76846,31535,11.55,60,648,2023-11-01,0,
L00216,33,47345,31687,9.98,48,407,2022-08-05,0,
L00217,55,72393,3545,4.3,24,440,2024-01-18,0,
L00218,52,89346,33586,17.97,48,328,2024-03-03,0,
L00219,49,147293,11436,10.72,48,571,2023-01-09,0,
L00220,67,30616,40129,5.28,24,658,2023-11-09,1,2024-09-26
L00221,21,52733,23144,5.55,12,441,2024-03-19,0,
L00222,24,52913,43600,7.88,12,698,2024-02-13,0,
L00223,44,94691,34883,17.39,48,360,2022-06-05,0,
L00224,26,20806,43970,16.65,36,525,2023-11-23,0,
L00225,24,74842,18934,7.23,48,542,2023-03-11,0,
L00226,30,60042,20320,6.61,48,558,2022-09-11,0,
L00227,25,70948,11245,17.57,48,820,2023-11-19,1,2025-07-17
L00228,69,46172,45874,9.55,12,361,2024-04-04,1,2024-12-01
L00229,23,48831,10906,7.14,12,419,2022-12-03,1,2022-12-19
L00230,45,79720,40443,12.12,12,566,2023-08-26,0,
L00231,23,63642,35284,16.44,48,631,2022-07-13,1,2025-10-18
L00232,35,147015,45520,11.71,36,525,2022-10-30,0,
L00233,35,89669,17663,13.74,12,475,2023-12-04,0,
L00234,26,126532,12903,13.57,24,413,2023-05-21,0,
L00235,52,135005,5396,16.69,24,622,2022-10-24,0,
L00236,54,91719,29572,7.74,24,561,2023-07-18,0,
L00237,36,39623,5139,15.91,60,662,2023-02-18,0,
L00238,62,147331,23670,13.79,48,306,2022-05-21,0,
L00239,65,94553,5808,4.41,24,834,2023-01-18,1,2023-04-28
L00240,52,42890,14700,14.41,48,381,2023-01-15,0,
L00241,34,77932,29588,7.62,24,523,2024-05-09,1,2025-10-02
L00242,47,86672,37832,5.62,36,747,2024-04-20,0,
L00243,55,21007,8445,7.97,48,754,2022-11-14,0,
L00244,52,33281,4435,12.86,24,521,2024-02-03,0,
L00245,42,33507,10059,13.63,12,541,2024-01-02,0,
L00246,37,100395,11073,10.63,48,321,2023-11-30,1,2025-04-02
L00247,38,87889,26821,17.63,60,584,2023-10-04,0,
L00248,55,41427,38196,9.37,12,328,2023-11-08,0,
L00249,26,51598,30570,7.54,12,837,2023-06-11,0,
L00250,54,121660,17288,5.43,60,788,2022-11-09,0,
L00251,49,95932,20482,7.09,12,429,2023-01-17,0,
L00252,40,23093,14722,7.83,12,681,2023-03-01,0,
L00253,48,53756,42214,9.88,24,383,2023-01-31,0,
L00254,25,148386,8626,9.73,24,826,2023-06-27,0,
L00255,55,46431,22440,13.12,48,823,2023-01-26,0,
L00256,64,38639,22994,17.55,48,729,2022-12-14,0,
L00257,49,88916,11711,14.79,48,498,2024-01-15,0,
L00258,64,127188,8655,16.89,24,826,2023-05-13,0,
L00259,34,149478,14536,12.5,48,820,2023-11-07,0,
L00260,42,25109,38201,15.17,12,694,2023-04-04,0,
L00261,37,122471,29589,9.49,24,665,2022-05-29,1,2023-02-15
L00262,58,46143,9154,13.73,48,401,2024-03-08,1,2025-01-19
L00263,31,52981,6762,5.47,12,700,2023-10-05,1,2024-02-12
L00264,66,58559,11783,10.75,48,391,2022-11-12,0,
L00265,30,94663,25431,17.18,36,301,2022-10-27,0,
L00266,61,65004,21333,4.46,48,415,2023-04-21,0,
L00267,59,128737,18525,11.95,36,421,2023-05-15,0,
L00268,54,85641,12078,13.39,48,616,2023-03-26,1,2024-12-11
L00269,26,103976,42685,12.63,60,522,2022-07-24,0,
L00270,32,140071,39679,14.0,48,617,2023-01-23,0,
L00271,67,44826,38198,5.12,24,383,2023-12-24,0,
L00272,26,47961,19405,10.33,24,814,2023-07-10,0,
L00273,62,56877,49026,14.15,36,311,2022-12-04,0,
L00274,33,21560,16612,12.62,24,446,2023-10-28,0,
L00275,56,90316,21311,16.21,12,608,2023-01-06,1,2023-03-01
L00276,64,40049,13181,14.07,60,848,2022-07-09,0,
L00277,61,111194,17025,9.65,60,744,2024-04-24,1,2029-03-28
L00278,35,118656,33027,6.44,12,458,2022-10-10,0,
L00279,44,94131,15803,14.29,36,681,2023-01-16,0,
L00280,44,134225,18282,12.1,12,719,2023-02-16,1,2023-08-29
L00281,54,42015,15003,16.23,12,717,2022-06-03,0,
L00282,59,32201,32426,12.29,60,545,2024-03-22,0,
L00283,23,68364,36297,12.84,48,819,2023-02-17,0,
L00284,50,132214,14561,7.33,60,633,2022-05-20,0,
L00285,57,84324,47965,10.89,60,617,2023-01-30,0,
L00286,67,118317,7599,12.11,24,383,2024-02-16,0,
L00287,26,121520,29616,9.59,12,462,2023-12-19,0,
L00288,21,41927,23939,5.83,60,600,2023-06-26,0,
L00289,51,138154,47738,10.19,12,660,2024-03-30,0,
L00290,40,124199,16994,17.28,24,612,2024-01-02,0,
L00291,40,127803,22576,12.48,12,503,2022-06-25,0,
L00292,69,29847,29155,10.25,60,666,2024-01-10,0,
L00293,64,103194,37707,7.78,12,810,2022-08-30,1,2023-07-29
L00294,46,47420,18360,5.71,24,497,2022-08-24,0,
L00295,25,49856,12200,12.19,48,311,2023-10-28,0,
L00296,44,123674,3125,17.33,12,605,2023-08-14,0,
L00297,59,140030,9638,11.3,60,727,2022-12-11,1,2023-11-22
L00298,43,42911,41525,8.31,24,635,2023-03-28,0,
L00299,28,30225,45324,5.31,60,651,2024-05-03,1,2025-09-28
L00300,67,130677,41006,17.22,60,713,2023-12-05,0,
L00301,37,44089,39487,16.1,12,644,2022-11-12,0,
L00302,53,121376,34890,17.17,60,352,2023-12-15,0,
L00303,61,130169,11125,13.21,12,460,2023-02-15,0,
L00304,68,92460,30208,5.27,48,458,2023-10-07,0,
L00305,24,146561,38941,8.58,60,318,2024-01-27,0,
L00306,38,116652,36768,8.44,60,664,2023-08-10,1,2025-01-24
L00307,44,126493,44781,13.09,60,364,2024-03-06,1,2028-01-11
L00308,27,120494,12108,9.33,36,772,2022-06-23,0,
L00309,52,113680,34010,7.18,36,566,2023-02-20,0,
L00310,66,141805,28537,10.49,24,302,2023-11-29,0,
L00311,28,55631,46461,16.8,36,520,2023-10-23,0,
L00312,32,41636,19353,11.37,24,599,2024-03-01,0,
L00313,63,111055,29966,15.38,36,797,2022-07-17,0,
L00314,63,78348,27596,6.74,48,635,2023-03-04,0,
L00315,35,76088,11906,9.32,24,623,2023-03-20,0,
L00316,42,57650,49881,6.33,36,672,2023-02-19,1,2023-07-28
L00317,47,62652,9894,11.45,48,443,2023-06-30,0,
L00318,50,128177,15289,7.82,36,389,2022-07-13,0,
L00319,31,119590,47139,6.54,12,458,2022-09-07,0,
L00320,69,110025,11636,7.59,12,335,2023-12-26,0,
L00321,27,79189,45368,9.23,48,661,2024-02-19,0,
L00322,33,100758,26669,11.21,60,519,2022-10-02,0,
L00323,29,148782,19393,6.45,60,451,2023-11-04,0,
L00324,46,147834,37084,8.23,12,830,2023-04-10,0,
L00325,59,56041,26384,5.34,12,738,2023-08-17,1,2023-10-02
L00326,67,46160,20633,10.62,60,731,2023-09-13,0,
L00327,55,53755,43390,11.65,24,376,2022-12-23,0,
L00328,45,119073,20727,5.91,60,673,2023-02-13,0,
L00329,61,118032,47311,5.8,36,830,2023-12-09,0,
L00330,58,96329,34007,7.84,24,335,2023-02-25,0,
L00331,53,93379,17210,9.62,36,652,2023-04-19,0,
L00332,61,145926,9704,15.65,12,816,2023-03-17,0,
L00333,52,34484,37503,13.11,24,680,2022-08-20,0,
L00334,42,118117,8249,17.92,36,508,2024-01-22,0,
L00335,43,132413,35007,12.13,36,741,2024-02-24,1,2024-12-02
L00336,33,68604,13526,14.57,24,610,2022-11-26,1,2024-05-01
L00337,50,118936,6083,8.87,48,814,2023-03-14,0,
L00338,65,92982,40211,17.64,60,816,2023-10-31,1,2024-04-13
L00339,64,38752,35376,13.4,36,383,2022-12-06,0,
L00340,38,147431,29342,16.11,60,759,2024-04-17,0,
L00341,54,145436,19163,8.24,60,413,2022-05-27,0,
L00342,61,135028,38585,17.12,12,748,2022-06-08,0,
L00343,43,38073,39035,16.23,60,561,2022-12-28,0,
L00344,63,30382,7437,11.93,36,543,2022-06-20,1,2023-03-26
L00345,67,118864,15329,11.56,12,728,2023-04-02,0,
L00346,44,65033,10629,15.28,24,306,2022-09-25,0,
L00347,29,98222,49484,4.32,36,429,2022-11-02,0,
L00348,34,124211,31937,15.51,12,552,2023-11-26,0,
L00349,56,93822,8901,5.95,12,635,2022-08-12,1,2022-12-22
L00350,23,55298,26429,6.05,60,416,2022-08-24,0,
L00351,41,125441,20347,5.89,24,472,2023-08-25,0,
L00352,52,130719,14871,12.32,36,842,2022-12-01,0,
L00353,38,72188,38262,12.97,36,342,2023-09-23,0,
L00354,43,92146,9430,4.86,60,766,2022-11-06,0,
L00355,45,139425,39618,14.56,24,355,2023-08-21,0,
L00356,43,79474,47936,5.99,36,628,2022-10-04,0,
L00357,66,29074,9406,13.69,24,559,2023-04-26,0,
L00358,60,43312,46108,12.61,36,520,2022-09-05,0,
L00359,58,137990,18422,15.09,60,782,2024-02-03,0,
L00360,48,47605,37317,6.48,48,809,2022-10-26,0,
L00361,47,26548,40605,7.64,36,770,2022-11-25,0,
L00362,59,111012,33784,8.53,12,541,2023-07-03,0,
L00363,38,67076,3671,10.83,12,796,2022-11-03,0,
L00364,41,137043,32300,10.84,48,845,2023-09-25,0,
L00365,38,41223,10394,9.26,36,735,2023-05-30,0,
L00366,62,75316,46404,5.86,12,491,2022-06-07,1,2023-03-14
L00367,29,110536,42040,15.32,12,328,2023-11-26,0,
L00368,60,110900,44674,10.94,36,499,2023-05-18,0,
L00369,37,27099,28431,16.35,24,715,2023-04-19,0,
L00370,43,112260,44991,4.58,36,804,2022-11-30,1,2023-04-21
L00371,21,27788,31082,5.0,24,316,2024-01-20,0,
L00372,41,114439,47857,10.47,48,527,2023-11-28,1,2026-05-22
L00373,35,123634,41278,14.97,60,790,2023-11-06,0,
L00374,25,124797,13759,7.71,48,849,2023-05-09,0,
L00375,68,129787,26888,8.14,60,659,2023-10-29,0,
L00376,22,116718,28538,5.7,12,681,2022-09-28,0,
L00377,61,79560,15504,11.42,12,489,2023-05-22,0,
L00378,30,54964,23131,8.1,12,787,2023-12-17,1,2024-04-07
L00379,33,128212,42071,14.47,24,587,2023-09-06,0,
L00380,54,77866,19905,8.74,60,701,2023-08-24,0,
L00381,45,90119,41714,11.7,12,713,2024-03-21,0,
L00382,64,113471,36453,4.18,36,421,2024-03-31,1,2025-10-03
L00383,59,96272,40643,16.86,60,829,2022-07-24,1,2022-07-30
L00384,41,35997,17215,14.47,60,537,2023-10-04,0,
L00385,64,128255,31927,11.63,24,534,2022-10-17,0,
L00386,48,113980,22921,5.51,48,512,2022-05-25,0,
L00387,47,68689,47638,10.84,24,706,2024-05-08,0,
L00388,33,128821,6754,14.61,12,652,2022-06-12,1,2022-10-17
L00389,39,101942,32725,16.23,36,666,2023-03-28,0,
L00390,57,49806,25663,10.46,36,428,2023-12-30,1,2025-09-29
L00391,23,102368,41787,5.39,12,523,2022-10-07,0,
L00392,54,130058,5520,11.77,36,601,2023-03-06,1,2025-07-29
L00393,47,96865,34656,9.25,24,692,2022-07-04,0,
L00394,42,128777,22033,15.76,24,311,2022-11-08,0,
L00395,34,33944,22873,14.62,12,319,2022-12-09,0,
L00396,51,25110,15087,11.03,36,431,2022-11-24,0,
L00397,24,127539,21313,16.41,60,526,2023-05-09,0,
L00398,58,123892,16109,13.74,48,704,2023-07-15,0,
L00399,66,124195,36848,9.43,60,572,2023-10-06,0,
L00400,24,56060,32197,14.13,24,635,2022-07-30,0,
L00401,24,56727,14005,10.81,24,458,2024-02-04,0,
L00402,39,130384,6390,5.08,24,705,2023-02-12,0,
L00403,32,86077,24817,13.91,24,318,2022-08-26,0,
L00404,56,25469,31854,14.3,48,780,2024-03-01,0,
L00405,69,104730,28051,14.3,12,417,2024-04-21,0,
L00406,37,65253,37051,10.95,24,346,2022-09-27,0,
L00407,26,50254,21509,14.46,36,436,2022-12-28,0,
L00408,25,140312,33268,17.72,48,553,2024-03-16,1,2025-04-22
L00409,26,73072,27570,8.18,24,725,2023-06-22,0,
L00410,46,101906,32252,15.79,36,348,2024-04-29,1,2024-10-08
L00411,25,128899,29201,5.13,24,594,2023-05-26,0,
L00412,21,22839,6384,4.1,12,481,2023-05-31,0,
L00413,64,57051,10736,14.52,48,847,2023-09-05,0,
L00414,44,94603,40481,7.95,12,519,2023-06-04,0,
L00415,48,93997,20015,17.65,48,699,2023-04-02,0,
L00416,62,27896,35972,7.75,24,527,2024-04-30,0,
L00417,40,60785,21681,11.87,24,832,2022-11-20,0,
L00418,53,50682,35262,5.21,48,698,2024-04-24,0,
L00419,31,86707,14918,16.35,36,725,2022-08-09,0,
L00420,34,90968,23644,17.74,36,381,2023-11-22,1,2026-09-28
L00421,43,54521,34703,8.74,24,670,2022-12-08,0,
L00422,32,101912,9588,5.6,24,477,2024-01-16,1,2025-12-23
L00423,62,35352,36365,11.86,12,653,2022-07-12,0,
L00424,63,66760,47629,11.68,24,793,2023-10-22,0,
L00425,21,67945,16140,5.97,48,321,2023-02-24,0,
L00426,22,141673,3097,16.07,36,734,2023-04-17,1,2025-09-17
L00427,42,147563,11535,15.02,36,593,2023-06-24,0,
L00428,30,36994,4727,15.12,12,331,2023-10-29,1,2023-11-23
L00429,40,94905,12283,14.59,36,513,2023-10-11,0,
L00430,60,116468,33798,16.31,36,680,2024-04-26,0,
L00431,48,59961,32118,11.74,60,553,2023-01-10,0,
L00432,64,43648,44971,15.18,48,735,2024-02-13,0,
L00433,63,52658,9852,17.5,60,803,2022-06-08,0,
L00434,28,142775,36243,14.6,36,784,2023-08-21,0,
L00435,29,41038,43846,16.81,12,403,2022-06-03,0,
L00436,40,105445,14531,6.32,12,686,2022-07-10,0,
L00437,47,99473,4898,17.77,36,519,2022-10-17,0,
L00438,28,53380,49971,15.49,24,559,2024-05-10,0,
L00439,66,144661,8906,16.35,60,823,2023-10-16,0,
L00440,36,74400,28150,10.8,36,832,2024-04-10,0,
L00441,54,21283,36691,16.35,12,546,2022-08-21,0,
L00442,25,29752,46360,4.41,12,681,2022-07-27,0,
